zipcode,white_percent,black_percent,asian_percent
11580,0.46167078,0.276593623,0.130581108
11581,0.684321627,0.12962963,0.111398964
11590,0.532096661,0.209840937,0.07465915
11596,0.836354962,0.007251908,0.130248092
11598,0.907037815,0.028436375,0.043442377
11691,0.309902557,0.501424169,0.019938369
11692,0.164455232,0.66364617,0.027993528
11693,0.553961061,0.30824102,0.03121853
11694,0.824627597,0.091728734,0.025137201
11697,0.98161314,0.001225791,0.005883795
11701,0.479951308,0.372828212,0.012136191
11702,0.924403366,0.019519934,0.020554559
11703,0.839597929,0.066098081,0.043314042
11704,0.773109244,0.131992442,0.028143802
11705,0.948941469,0.011332503,0.017932752
11706,0.603776602,0.161297028,0.034408327
11709,0.950367371,0.002849003,0.016794122
11710,0.914221939,0.017074443,0.03841025
11713,0.625036054,0.216902221,0.025478319
11714,0.914555565,0.006487775,0.047930091
11715,0.957912458,0.010311448,0.009680135
11716,0.940560748,0.010093458,0.021962617
11717,0.483661207,0.163700716,0.019639477
11718,0.942636159,0.015146632,0.016113439
11719,0.896349958,0.062134299,0.008080245
11720,0.852444414,0.031004831,0.061941142
11721,0.963445645,0.004609027,0.018753973
11722,0.437331211,0.249339057,0.033402507
11724,0.954037267,0.004658385,0.022049689
11725,0.914957118,0.009331046,0.05567753
11726,0.626378607,0.154857229,0.023719595
11727,0.732793662,0.131036858,0.053599724
11729,0.74796661,0.119470605,0.069955765
11730,0.945350734,0.01026373,0.015905383
11731,0.913298436,0.010999205,0.047342963
11732,0.911078717,0.013702624,0.052186589
11733,0.887329147,0.020212148,0.068024698
11735,0.852015702,0.039254782,0.048943859
11738,0.876346525,0.027894319,0.039857127
11739,0.970564186,0.004905969,0.018806214
11740,0.868944362,0.048127777,0.04125238
11741,0.915783764,0.015874164,0.036774543
11742,0.901515723,0.017871955,0.048488048
11743,0.858086668,0.064196069,0.035519773
11746,0.729990759,0.077428682,0.067174412
11747,0.866383881,0.035247185,0.07029238
11749,0.627802691,0.13961136,0.060986547
11751,0.89940512,0.033353385,0.021990509
11752,0.91438464,0.023397335,0.021718602
11753,0.716330947,0.013733977,0.253204595
11754,0.943084714,0.010707881,0.023578437
11755,0.883587632,0.020828288,0.064341649
11756,0.879297048,0.009581454,0.06232619
11757,0.89678337,0.022647702,0.021531729
11758,0.907032934,0.047022526,0.018288603
11762,0.963864043,0.004203936,0.016949911
11763,0.792569985,0.096190276,0.026029608
11764,0.933560606,0.016666667,0.029015152
11765,0.86431479,0.016282225,0.080054274
11766,0.92148793,0.01527503,0.039889197
11767,0.915966965,0.015829319,0.043702684
