incident_address,count
1450 TOWNSEND AVENUE,21
231 THOMPSON STREET,20
1184 EVERGREEN AVENUE,20
39-06 114 STREET,20
3 ALLEN STREET,20
80 FT WASHINGTON AVENUE,20
161 EAST  179 STREET,20
43 DUFFIELD STREET,20
738 ALBANY AVENUE,20
514 EAST   12 STREET,20
34-35 76 STREET,20
2081 5 AVENUE,20
2155 MOHEGAN AVENUE,20
1928 UNIVERSITY AVENUE,20
34-25 9 STREET,20
289 HERKIMER STREET,20
15 EAST  109 STREET,20
3768 LACONIA AVENUE,20
21 EAST   21 STREET,20
865 HART STREET,20
765 LINCOLN AVENUE,20
10 RICHMAN PLAZA,20
351 LEGION STREET,20
284 SNEDIKER AVENUE,20
1757 SEWARD AVENUE,20
2645 MORRIS AVENUE,20
1226 PROSPECT AVENUE,20
540 KOSCIUSZKO STREET,20
269 OCEAN PARKWAY,20
144-67 41 AVENUE,20
1507 ST JOHNS PLACE,20
1135 BOYNTON AVENUE,20
21 WEST MOSHOLU PARKWAY NORTH,20
2474 DAVIDSON AVENUE,20
3856 BROADWAY,19
3150 ROCHAMBEAU AVENUE,19
1131 MORRIS AVENUE,19
9-10 DINSMORE AVENUE,19
900 BRONX PARK SOUTH,19
69-18 30 AVENUE,19
2298 CRESTON AVENUE,19
1238 ST NICHOLAS AVENUE,19
835 RIVERSIDE DRIVE,19
418 WEST  130 STREET,19
82 LAUREL AVENUE,19
1063 WARD AVENUE,19
180 EAST  163 STREET,19
130 WILLIS AVENUE,19
1180 ANDERSON AVENUE,19
1401 GRAND CONCOURSE,19
1900 LEXINGTON AVENUE,19
1692 UNION STREET,19
509 HINSDALE STREET,19
26-45 9 STREET,19
810 EAST 156 STREET,19
1840 MONROE AVENUE,19
71-21 65 STREET,19
172 ATLANTIC AVENUE,19
1757 PITKIN AVENUE,19
1720 HARMAN STREET,19
491 HANCOCK STREET,19
50 EAST   21 STREET,19
1912 AVENUE H,19
167 EAST   90 STREET,19
451 KINGSTON AVENUE,19
1259 PACIFIC STREET,19
122 AVENUE T,19
970 BOSTON ROAD,19
611 ACADEMY STREET,19
60 WEST  142 STREET,19
621 WATER STREET,19
974 ANDERSON AVENUE,19
1000 PRESIDENT STREET,19
22-37 DIX AVENUE,19
832 LINDEN BOULEVARD,19
307 12 STREET,19
1295 FIFTH AVENUE,19
3280 ROCHAMBEAU AVENUE,19
2075 WALLACE AVENUE,18
941 EAST   49 STREET,18
779 ROGERS AVENUE,18
2501 NEWKIRK AVENUE,18
35 ST NICHOLAS TERRACE,18
87-75 148 STREET,18
2334 WEBSTER AVENUE,18
107-10 SHORE FRONT PARKWAY,18
149 EAST   96 STREET,18
118 WEST  137 STREET,18
3816 REVIEW PLACE,18
3063 HULL AVENUE,18
697 EVERGREEN AVENUE,18
723 EAST  223 STREET,18
667 EAST  187 STREET,18
480 WEST  187 STREET,18
1841 MOHEGAN AVENUE,18
17 WEST  182 STREET,18
935 59 STREET,18
409 TOMPKINS AVENUE,18
2950 WEST   24 STREET,18
3602 AVENUE J,18
532 LEFFERTS AVENUE,18
624 RIVERDALE AVENUE,18
3030 HEATH AVENUE,18
156 EAST   54 STREET,18
3171 ROCHAMBEAU AVENUE,18
922 BRONX PARK SOUTH,18
459 PENNSYLVANIA AVENUE,18
1860 GRAND CONCOURSE,18
3851 BROADWAY,18
436 GATES AVENUE,18
1134 STRATFORD AVENUE,18
1314 LAFAYETTE AVENUE,18
851 EAST  163 STREET,18
245 MONTAUK AVENUE,18
851 PACIFIC STREET,18
392 ROCKAWAY PARKWAY,18
21-24 31 STREET,18
2075 CRESTON AVENUE,18
2816 FREDERICK DOUGLASS BOULEVARD,18
1841 DR M L KING JR BOULEVARD,18
10 MANHATTAN AVENUE,18
1630 41 STREET,18
1314 SENECA AVENUE,18
1500 GRAND CONCOURSE,18
153-16 SOUTH ROAD,18
8633 21 AVENUE,18
3489 FT INDEPENDENCE STREET,18
1204 EAST   91 STREET,17
2187 AMSTERDAM AVENUE,17
1579 METROPOLITAN AVENUE,17
1005 JEROME AVENUE,17
1171 SHERMAN AVENUE,17
2485 MORRIS AVENUE,17
324 WEST   84 STREET,17
1177 EAST   98 STREET,17
945 LIBERTY AVENUE,17
973 SCHENECTADY AVENUE,17
2489 TIEBOUT AVENUE,17
516 WEST  135 STREET,17
3810 BAILEY AVENUE,17
26 EAST   60 STREET,17
9104 4 AVENUE,17
4030 BRONX BOULEVARD,17
223 NAPLES TERRACE,17
539 COMMONWEALTH AVENUE,17
39-88 49 STREET,17
1701 EASTBURN AVENUE,17
1901 LORING PLACE,17
134-11 161 STREET,17
50 WESTMINSTER ROAD,17
40-20 201 STREET,17
2501 HOFFMAN STREET,17
144 WEST  144 STREET,17
410 LEXINGTON AVENUE,17
90-10 149 STREET,17
1299 OCEAN AVENUE,17
1038 OCEAN AVENUE,17
329 95 STREET,17
2070 GRAND CONCOURSE,17
370 WADSWORTH AVENUE,17
951 CARROLL STREET,17
15 CROOKE AVENUE,17
1475 WYTHE PLACE,17
125 EAST   19 STREET,17
545 EAST  144 STREET,17
357 EAST  201 STREET,17
61-56 MADISON STREET,17
105 WEST  137 STREET,17
1945 LORING PLACE SOUTH,17
556 LEFFERTS AVENUE,17
934 CARROLL STREET,17
2104 HUGHES AVENUE,17
1671 BOSTON ROAD,17
1199 OCEAN AVENUE,17
1026 WILLMOHR STREET,17
132-57 SANFORD AVENUE,17
1671 WEST    8 STREET,17
1631 GRAND AVENUE,17
602 WEST  137 STREET,17
421 WEST  162 STREET,17
1288 WASHINGTON AVENUE,17
2465 TRATMAN AVENUE,17
3006 DECATUR AVENUE,17
2406 LORILLARD PLACE,17
22-79 MOTT AVENUE,17
79 WESTCHESTER SQUARE,17
1060 ANDERSON AVENUE,17
620 WEST  190 STREET,17
82 RUTGERS SLIP,17
673 BECK STREET,17
1694 SELWYN AVENUE,17
231 WEST  149 STREET,17
2332 CRESTON AVENUE,17
5 PINEHURST AVENUE,16
164-05A 32 AVENUE,16
393 PROSPECT AVENUE,16
1341 FRANKLIN AVENUE,16
1410 METROPOLITAN AVENUE,16
959 ST MARKS AVENUE,16
3480 3 AVENUE,16
2330 CROTONA AVENUE,16
711 EAST  231 STREET,16
10 ADRIAN AVENUE,16
680 BECK STREET,16
214 EAST  203 STREET,16
1836 RICHMOND TERRACE,16
2532 BEDFORD AVENUE,16
216 WEST   23 STREET,16
2405 SOUTHERN BOULEVARD,16
1215 EASTERN PARKWAY,16
3463 3 AVENUE,16
182 MESEROLE STREET,16
318 EAST  126 STREET,16
354 41 STREET,16
212 WEST   99 STREET,16
4165 GRACE AVENUE,16
507 WEST  179 STREET,16
1590 UNDERCLIFF AVENUE,16
756 UNION STREET,16
7203 5 AVENUE,16
150 WEST 179 STREET,16
972 LEGGETT AVENUE,16
983 EAST  181 STREET,16
186 MILFORD STREET,16
361 MAPLE STREET,16
560 ST NICHOLAS AVENUE,16
57 LAUREL AVENUE,16
515 CATHEDRAL PARKWAY,16
3105 DECATUR AVENUE,16
1534 ERICSON PLACE,16
2321 ADAM C POWELL BOULEVARD,16
22-69 27 STREET,16
436 EASTERN PARKWAY,16
181 ROCKAWAY PARKWAY,16
89-23 171 STREET,16
315 JEFFERSON STREET,16
1709 ROCKAWAY PARKWAY,16
1130 1 AVENUE,16
154 ROCKAWAY PARKWAY,16
62 NEW YORK AVENUE,16
144-35 ROOSEVELT AVENUE,16
2079 MOHEGAN AVENUE,16
15 WEST  139 STREET,16
306 EAST  180 STREET,16
639 ALBANY AVENUE,16
3198 3 AVENUE,16
1660 2 AVENUE,16
1664 MACOMBS ROAD,16
287 LINDEN BOULEVARD,16
934 OGDEN AVENUE,16
1236 UNION STREET,16
2271 WASHINGTON AVENUE,16
15 EAST  199 STREET,16
1593 FULTON STREET,16
1044 AVENUE ST JOHN,16
64-20 SAUNDERS STREET,16
2760 GRAND CONCOURSE,16
1012 OCEAN AVENUE,16
3857 WHITE PLAINS ROAD,16
2446 LYVERE STREET,16
2015 CRESTON AVENUE,16
6324 4 AVENUE,16
1416 WALTON AVENUE,16
2528 ADAM C POWELL BOULEVARD,16
404 MARCUS GARVEY BOULEVARD,16
255 BERGEN STREET,16
225 EAST  174 STREET,16
552 EAST NEW YORK AVENUE,16
1487 TELLER AVENUE,16
1571 ST NICHOLAS AVENUE,16
53 LUDLOW STREET,16
363 GRAND AVENUE,16
1192 NELSON AVENUE,16
